Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
5/1/2014 4:00,7508.60186136866,963.104171538025,1642.28889915227,609.772224464944,7711.08256901671,1972.21752983803,3787.48318893868,786.912412682651,24981.462857
5/1/2014 4:59,7646.76508763217,995.739768151855,1648.23492776816,615.526473532741,7981.46767314598,1973.78133987198,3861.81414242886,798.735933468255,25522.065346
5/1/2014 6:00,8124.43850921087,1065.53694492272,1683.00419740064,652.937509557069,8807.07915339271,2083.44355948054,4192.27785577463,847.131038260825,27455.848768
5/1/2014 7:00,8815.59375675685,1198.41735999918,1748.30304754018,721.574229500877,10254.8892905372,2385.8919994237,4832.1941718398,936.029466402209,30892.893322
5/1/2014 7:59,8896.68088441506,1204.24525259321,1787.82105021793,739.029593294645,10735.2610697681,2455.25033394353,4974.50521274304,962.51448002448,31755.307877
5/1/2014 9:00,9124.64911651528,1225.29566142901,1789.41370729343,726.645132111005,10635.3368258853,2440.5255307685,4987.19892790464,957.938240092884,31887.003142
5/1/2014 10:00,9420.08311357696,1252.22570922134,1802.97148048286,728.505280869868,10706.2351914854,2511.73213895497,5100.47550235851,957.349824050036,32479.578241
5/1/2014 10:59,9708.52371134506,1246.16303760495,1810.30507700083,731.260477029977,10827.244072317,2585.66688014762,5229.55433281278,957.076022741822,33095.793611
5/1/2014 12:00,9850.63199178368,1241.38488947392,1808.33788230048,727.211364993293,10865.4666348872,2639.77865043397,5315.28637210089,952.368943026534,33400.466729
5/1/2014 13:00,9942.2414818655,1244.67138620616,1807.96128961246,721.833976367231,10884.8017222533,2669.94157410449,5358.07447258482,954.832777006043,33584.35868
5/1/2014 13:59,10061.8318700989,1269.0344855454,1824.6334824787,725.314077150822,10963.9357268985,2730.46705998581,5467.42686546724,975.892176374595,34018.535744
5/1/2014 15:00,10069.4953323522,1285.95894372446,1839.01447517108,726.575126499049,10982.7506945946,2779.68866352317,5572.12859283009,994.710315305395,34250.322144
5/1/2014 16:00,10060.6606550462,1283.64419536536,1841.55787771215,725.249252512741,11058.0226453923,2822.50176624056,5747.51419305043,1003.77937568021,34542.929961
5/1/2014 16:59,10113.8343186825,1295.57595669671,1843.97932906368,729.476939521378,11200.4586674331,2841.44567048651,5885.06151657694,1009.89023753923,34919.722636
5/1/2014 18:00,9989.11860658843,1305.71990248603,1817.27458810322,724.138358983131,11210.1685635008,2814.30959573354,5962.50513758248,995.473316022329,34818.708069
5/1/2014 19:00,9721.72243366484,1282.73902425556,1801.75333482171,717.430189266265,11068.4264530983,2763.72180577945,5890.36812569954,985.071649414342,34231.233016
5/1/2014 19:59,9682.21235484624,1283.79360401437,1792.86499502987,714.650677104289,10927.7086684399,2727.56158035445,5791.19420390578,984.850316305133,33904.8364
5/1/2014 21:00,10012.4746274779,1330.52635088675,1810.74438934265,742.028565071175,11383.7074600278,2875.23872657656,5943.0533387396,1012.29951487759,35110.072973
5/1/2014 22:00,9786.52370247502,1311.00148659402,1824.42611369471,740.232108583884,11206.8558382524,2873.15103549719,5822.31692674391,997.533178158897,34562.04039
5/1/2014 22:59,9087.35993688156,1200.25774467421,1768.33273103901,706.085761291718,10251.1270419888,2658.96725121258,5301.17037772713,930.078878184984,31903.379723
5/2/2014 0:00,8338.6257,1116.2278,1710.62469,652.12024,9170.8266,2372.74,4669.63562,852.81116,28883.61181
5/2/2014 1:00,7826.96147395251,1029.30469523871,1654.49599406413,619.716699745965,8456.96376414871,2175.65267326276,4202.19491354656,802.065120040628,26767.355334
5/2/2014 1:59,7570.02781758468,973.531077313638,1638.89108162245,598.960632538591,8025.716923894,2063.04705485023,3965.98802774448,777.285104451932,25613.44772
5/2/2014 3:00,7439.71403240908,973.274682648494,1633.59913186609,588.545320708885,7784.41412078836,2000.96232814241,3818.77900631438,768.492052122294,25007.780675
